JUGADOR;PARTIDO;LLAVE;EQUIPO 1;EQUIPO 2;GOLES 1;GOLES 2;RESULTADO
FF;99;BRASIL-INGLATERRA;BRASIL;INGLATERRA;2;1;BRASIL
FF;100;ARGENTINA-COLOMBIA;ARGENTINA;COLOMBIA;1;1;EMPATE
FF;101;FRANCIA-ESPAÑA;FRANCIA;ESPAÑA;2;2;EMPATE
FF;102;BRASIL-ARGENTINA;BRASIL;ARGENTINA;2;3;ARGENTINA
FF;103;FRANCIA-BRASIL;FRANCIA;BRASIL;3;0;FRANCIA
FF;104;ESPAÑA-ARGENTINA;ESPAÑA;ARGENTINA;1;2;ARGENTINA
FS;73;SUDÁFRICA-CANADÁ;SUDÁFRICA;CANADÁ;0;2;CANADÁ
FS;74;ALEMANIA-PARAGUAY;ALEMANIA;PARAGUAY;2;0;ALEMANIA
FS;75;HOLANDA-MARRUECOS;HOLANDA;MARRUECOS;2;2;EMPATE
FS;76;BRASIL-JAPÓN;BRASIL;JAPÓN;2;2;EMPATE
FS;77;FRANCIA-SUECIA;FRANCIA;SUECIA;3;1;FRANCIA
FS;78;COSTA DE M-NORUEGA;COSTA DE M;NORUEGA;1;4;NORUEGA
FS;79;MÉXICO-ECUADOR;MÉXICO;ECUADOR;1;2;ECUADOR
FS;80;INGLATERRA-RD CONGO;INGLATERRA;RD CONGO;2;0;INGLATERRA
FS;81;USA-BOS Y HERZ;USA;BOS Y HERZ;3;0;USA
FS;82;BÉLGICA-SENEGAL;BÉLGICA;SENEGAL;2;1;BÉLGICA
FS;83;PORTUGAL-CROACIA;PORTUGAL;CROACIA;1;2;CROACIA
FS;84;ESPAÑA-AUSTRIA;ESPAÑA;AUSTRIA;2;0;ESPAÑA
FS;85;SUIZA-ARGELIA;SUIZA;ARGELIA;3;0;SUIZA
FS;86;ARGENTINA-CABO VERDE;ARGENTINA;CABO VERDE;3;0;ARGENTINA
FS;87;COLOMBIA-GHANA;COLOMBIA;GHANA;3;1;COLOMBIA
FS;88;AUSTRALIA-EGIPTO;AUSTRALIA;EGIPTO;1;2;EGIPTO
FS;89;ALEMANIA-FRANCIA;ALEMANIA;FRANCIA;2;3;FRANCIA
FS;90;CANADÁ-MARRUECOS;CANADÁ;MARRUECOS;0;2;MARRUECOS
FS;91;JAPÓN-NORUEGA;JAPÓN;NORUEGA;1;3;NORUEGA
FS;92;ECUADOR-INGLATERRA;ECUADOR;INGLATERRA;1;2;INGLATERRA
FS;93;ESPAÑA-CROACIA;ESPAÑA;CROACIA;2;1;ESPAÑA
FS;94;BÉLGICA-USA;BÉLGICA;USA;2;1;BÉLGICA
FS;95;EGIPTO-ARGENTINA;EGIPTO;ARGENTINA;1;2;ARGENTINA
FS;96;SUIZA-COLOMBIA;SUIZA;COLOMBIA;1;2;COLOMBIA
FS;97;MARRUECOS-FRANCIA;MARRUECOS;FRANCIA;1;2;FRANCIA
FS;98;ESPAÑA-BÉLGICA;ESPAÑA;BÉLGICA;3;0;ESPAÑA
FS;99;NORUEGA-INGLATERRA;NORUEGA;INGLATERRA;1;2;INGLATERRA
FS;100;ARGENTINA-COLOMBIA;ARGENTINA;COLOMBIA;2;1;ARGENTINA
FS;101;FRANCIA-ESPAÑA;FRANCIA;ESPAÑA;3;1;FRANCIA
FS;102;INGLATERRA-ARGENTINA;INGLATERRA;ARGENTINA;0;2;ARGENTINA
FS;103;ESPAÑA-INGLATERRA;ESPAÑA;INGLATERRA;2;0;ESPAÑA
FS;104;FRANCIA-ARGENTINA;FRANCIA;ARGENTINA;1;3;ARGENTINA
JMS;73;SUDÁFRICA-CANADÁ;SUDÁFRICA;CANADÁ;0;1;CANADÁ
JMS;74;ALEMANIA-PARAGUAY;ALEMANIA;PARAGUAY;1;1;EMPATE
JMS;75;HOLANDA-MARRUECOS;HOLANDA;MARRUECOS;2;1;HOLANDA
JMS;76;BRASIL-JAPÓN;BRASIL;JAPÓN;3;1;BRASIL
JMS;77;FRANCIA-SUECIA;FRANCIA;SUECIA;2;0;FRANCIA
JMS;78;COSTA DE M-NORUEGA;COSTA DE M;NORUEGA;1;2;NORUEGA
JMS;79;MÉXICO-ECUADOR;MÉXICO;ECUADOR;3;2;MÉXICO
JMS;80;INGLATERRA-RD CONGO;INGLATERRA;RD CONGO;2;0;INGLATERRA
JMS;81;USA-BOS Y HERZ;USA;BOS Y HERZ;3;1;USA
JMS;82;BÉLGICA-SENEGAL;BÉLGICA;SENEGAL;2;2;EMPATE
JMS;83;PORTUGAL-CROACIA;PORTUGAL;CROACIA;3;1;PORTUGAL
JMS;84;ESPAÑA-AUSTRIA;ESPAÑA;AUSTRIA;3;0;ESPAÑA
JMS;85;SUIZA-ARGELIA;SUIZA;ARGELIA;2;2;EMPATE
JMS;86;ARGENTINA-CABO VERDE;ARGENTINA;CABO VERDE;2;0;ARGENTINA
JMS;87;COLOMBIA-GHANA;COLOMBIA;GHANA;3;1;COLOMBIA
JMS;88;AUSTRALIA-EGIPTO;AUSTRALIA;EGIPTO;2;2;EMPATE
JMS;89;ALEMANIA-FRANCIA;ALEMANIA;FRANCIA;1;3;FRANCIA
JMS;90;CANADÁ-HOLANDA;CANADÁ;HOLANDA;0;2;HOLANDA
JMS;91;BRASIL-NORUEGA;BRASIL;NORUEGA;2;1;BRASIL
JMS;92;MÉXICO-INGLATERRA;MÉXICO;INGLATERRA;1;2;INGLATERRA
JMS;93;ESPAÑA-PORTUGAL;ESPAÑA;PORTUGAL;3;2;ESPAÑA
JMS;94;BÉLGICA-USA;BÉLGICA;USA;0;2;USA
JMS;95;EGIPTO-ARGENTINA;EGIPTO;ARGENTINA;0;2;ARGENTINA
JMS;96;SUIZA-COLOMBIA;SUIZA;COLOMBIA;0;2;COLOMBIA
JMS;97;HOLANDA-FRANCIA;HOLANDA;FRANCIA;1;2;FRANCIA
JMS;98;ESPAÑA-USA;ESPAÑA;USA;3;0;ESPAÑA
JMS;99;BRASIL-INGLATERRA;BRASIL;INGLATERRA;2;0;BRASIL
JMS;100;ARGENTINA-COLOMBIA;ARGENTINA;COLOMBIA;2;0;ARGENTINA
JMS;101;FRANCIA-ESPAÑA;FRANCIA;ESPAÑA;3;2;FRANCIA
JMS;102;BRASIL-ARGENTINA;BRASIL;ARGENTINA;2;3;ARGENTINA
JMS;103;ESPAÑA-BRASIL;ESPAÑA;BRASIL;2;2;EMPATE
JMS;104;FRANCIA-ARGENTINA;FRANCIA;ARGENTINA;2;4;ARGENTINA
NA;73;SUDÁFRICA-CANADÁ;SUDÁFRICA;CANADÁ;2;1;SUDÁFRICA
NA;74;ALEMANIA-PARAGUAY;ALEMANIA;PARAGUAY;3;1;ALEMANIA
NA;75;HOLANDA-MARRUECOS;HOLANDA;MARRUECOS;1;0;HOLANDA
NA;76;BRASIL-JAPÓN;BRASIL;JAPÓN;0;1;JAPÓN
NA;77;FRANCIA-SUECIA;FRANCIA;SUECIA;2;1;FRANCIA
NA;78;COSTA DE M-NORUEGA;COSTA DE M;NORUEGA;1;3;NORUEGA
NA;79;MÉXICO-ECUADOR;MÉXICO;ECUADOR;2;1;MÉXICO
NA;80;INGLATERRA-RD CONGO;INGLATERRA;RD CONGO;2;0;INGLATERRA
NA;81;USA-BOS Y HERZ;USA;BOS Y HERZ;2;0;USA
NA;82;BÉLGICA-SENEGAL;BÉLGICA;SENEGAL;3;1;BÉLGICA
NA;83;PORTUGAL-CROACIA;PORTUGAL;CROACIA;1;2;CROACIA
NA;84;ESPAÑA-AUSTRIA;ESPAÑA;AUSTRIA;3;0;ESPAÑA
NA;85;SUIZA-ARGELIA;SUIZA;ARGELIA;1;0;SUIZA
NA;86;ARGENTINA-CABO VERDE;ARGENTINA;CABO VERDE;3;1;ARGENTINA
NA;87;COLOMBIA-GHANA;COLOMBIA;GHANA;1;0;COLOMBIA
NA;88;AUSTRALIA-EGIPTO;AUSTRALIA;EGIPTO;2;0;AUSTRALIA
NA;89;ALEMANIA-FRANCIA;ALEMANIA;FRANCIA;1;2;FRANCIA
NA;90;SUDÁFRICA-HOLANDA;SUDÁFRICA;HOLANDA;1;2;HOLANDA
NA;91;BRASIL-NORUEGA;BRASIL;NORUEGA;1;2;NORUEGA
NA;92;MÉXICO-INGLATERRA;MÉXICO;INGLATERRA;1;2;INGLATERRA
NA;93;ESPAÑA-CROACIA;ESPAÑA;CROACIA;1;0;ESPAÑA
NA;94;BÉLGICA-USA;BÉLGICA;USA;1;0;BÉLGICA
NA;95;AUSTRALIA-ARGENTINA;AUSTRALIA;ARGENTINA;1;2;ARGENTINA
NA;96;SUIZA-COLOMBIA;SUIZA;COLOMBIA;0;1;COLOMBIA
NA;97;HOLANDA-FRANCIA;HOLANDA;FRANCIA;2;3;FRANCIA
NA;98;ESPAÑA-BÉLGICA;ESPAÑA;BÉLGICA;2;1;ESPAÑA
NA;99;NORUEGA-INGLATERRA;NORUEGA;INGLATERRA;1;0;NORUEGA
NA;100;ARGENTINA-COLOMBIA;ARGENTINA;COLOMBIA;3;1;ARGENTINA
NA;101;FRANCIA-ESPAÑA;FRANCIA;ESPAÑA;2;1;FRANCIA
NA;102;NORUEGA-ARGENTINA;NORUEGA;ARGENTINA;2;3;ARGENTINA
NA;103;NORUEGA-ESPAÑA;NORUEGA;ESPAÑA;1;2;ESPAÑA
NA;104;FRANCIA-ARGENTINA;FRANCIA;ARGENTINA;2;3;ARGENTINA
JPS;73;SUDÁFRICA-CANADÁ;SUDÁFRICA;CANADÁ;0;1;CANADÁ
JPS;74;ALEMANIA-PARAGUAY;ALEMANIA;PARAGUAY;2;1;ALEMANIA
